62
-279.5	1577.5	#1
-278.5	1647.5	#2
-276.5	1682.5	#4
-274.5	1752.5	#6
-272.5	1787.5	#8
-271.5	1822.5	#9
-267.5	1822.5	#13
-266.5	1822.5	#14
-264.5	1822.5	#16
-263.5	1822.5	#17
-262.5	1822.5	#18
-261.5	1822.5	#19
-260.5	1892.5	#20
-259.5	1927.5	#21
-258.5	1997.5	#22
-257.5	1997.5	#23
-256.5	2102.5	#24
-255.5	2102.5	#25
-254.5	2102.5	#26
-253.5	2207.5	#27
-251.5	2242.5	#29
-250.5	2277.5	#30
-249.5	2312.5	#31
-248.5	2382.5	#32
-247.5	2417.5	#33
-246.5	2522.5	#34
-245.5	2557.5	#35
-244.5	2662.5	#36
-243.5	2732.5	#37
-242.5	2802.5	#38
-241.5	2907.5	#39
-240.5	3012.5	#40
-239.5	3117.5	#41
-238.5	3117.5	#42
-237.5	3152.5	#43
-236.5	3222.5	#44
-235.5	3292.5	#45
-231.5	3292.5	#49
-230.5	3397.5	#50
-228.5	3502.5	#52
-226.5	3607.5	#54
-223.5	3642.5	#57
-219.5	3537.5	#61
-218.5	3607.5	#62
-217.5	3642.5	#63
-216.5	3747.5	#64
-215.5	3677.5	#65
-214.5	3642.5	#66
-213.5	3607.5	#67
-212.5	3677.5	#68
-211.5	3642.5	#69
-210.5	3537.5	#70
-209.5	3642.5	#71
-208.5	3677.5	#72
-207.5	3712.5	#73
-206.5	3642.5	#74
-205.5	3572.5	#75
-204.5	3502.5	#76
-203.5	3537.5	#77
-202.5	3572.5	#78
-201.5	3572.5	#79
-200.5	3607.5	#80
