41		
-3367	1399	#1
-3346	1433	#3
-3305	1468	#7
-3254	1511	#12
-3193	1564	#18
-3141	1650	#23
-3131	1670	#24
-3121	1690	#25
-3111	1720	#26
-3100	1736	#27
-3090	1770	#28
-3080	1802	#29
-3070	1855	#30
-3060	1885	#31
-3049	1945	#32
-3039	2005	#33
-3029	2065	#34
-3019	2095	#35
-3008	2155	#36
-2998	2245	#37
-2988	2275	#38
-2978	2365	#39
-2967	2365	#40
-2957	2455	#41
-2947	2515	#42
-2937	2545	#43
-2916	2589	#45
-2906	2635	#46
-2896	2665	#47
-2885	2725	#48
-2875	2815	#49
-2865	2815	#50
-2855	2845	#51
-2844	2845	#52
-2834	2845	#53
-2824	2845	#54
-2814	2845	#55
-2804	2845	#56
-2793	2845	#57
-2763	2845	#60
-2148	2845	#80
